description,country,variety
"Still young, this is a complex wine. It has layers of dusty tannins, spiced fruits, ripe blackberries and a dark structure. Black chocolate and licorice feed extra richness into the wine. Very smooth aftertaste.",Portugal,Portuguese Red
"A selection of grapes and year's wood aging give this wine structure, depth of flavor and aging potential. It has weight, but the acidity is a definite element here, giving a vibrant edge and definition to the rich berry and plum fruits.",Portugal,Portuguese Red
"Continuing the succession of fine wines from Aveleda's Quinta da Agueira in Bairrada, this is a powerful, firmly tannic but ultimately smooth wine. It has big ripe swathes of dark plums, figs and refreshing sweet acidity.",Portugal,Touriga Nacional
"A firmly dry wine, driven by the dark tannins, only opening slowly to give ripe berry fruits. The soft side of the wine does bring out the lighter nature of the Baga in the blend, which has been tamed by wood aging. There is a final flourish of fresh black plum juice.",Portugal,Portuguese Red
"Made jointly by Filipa Pato and her husband William, a blend of Encruzado from Dão and Bical from Bairrada, and cask fermented. It is a beautiful wine, dense, concentrated, rich and creamy, a mouthfilling wine with white figs, and a green plum skin texture.",Portugal,Portuguese White
"Its dark color promises power, and this wine delivers a broad, chunky Shiraz, with perfumed fruit, dark tannins and a spicy wood structure. Solid concentration gives a wine that somehow manages to assimilate a Franco/Australian variety into a dry Portuguese structure.",Portugal,Shiraz
"You want big, bold flavors, plenty of spicy wood? It's all here inside the heavyweight bottle. In fact, the spice is the most dominant character, flavors of grated nutmeg going right over the dark, closed tannins and big, brooding fruit. Give it 2–3 years.",Portugal,Portuguese Red
"The Dão's very own white variety, Encruzado gives a citric, bright lime and grapefruit wine, with a delicious bite of pear skin. This is a fine example of the grape, rounded at the edges, with an outburst of fresh acidity, very fresh, but worth aging for 2–3 years.",Portugal,Encruzado
"An easy, fresh, slightly sparkling wine with pleasant, soft, lightly sweet fruit flavors. It is clean, a great apéritif for a summer's day.",Portugal,Portuguese White
"On paper, this is an interesting blend of Aragonez and Cabernet; however, this fruity wine is much simpler than that. There is a spice element that adds some complexity, but the palate concentrates mainly on red fruits and layered acidity. Drink now.",Portugal,Portuguese Red
"A soft, simple wine, the tannins set the pace, but the fruit doesn't quite follow. It is relatively light, with some red fruits and good acidity.",Portugal,Portuguese Red
"A full-bodied wine, with acidity and ripe white fruits. It is soft, lightly sweetened and easy to drink.",Portugal,Portuguese White
"The heavy bottle is the giveaway here—it shouts important wine. It does live up to its billing, with black, brooding fruits and tannins, and a dense core of dusty tannins, brightened with acidity. There is a final firm and spicy aftertaste.",Portugal,Portuguese Red
"From the aroma, this seems heavily wooded, but on the palate the wood spice is becoming well integrated with the dark berry fruits and mineral texture. It is certainly young. Already, though, the fruit is showing its potential richness. Give it 3–4 years.",Portugal,Touriga Nacional-Cabernet Sauvignon
"From old vines, on pre-phylloxera terraces, this is a powerful, concentrated wine. It is solid, packed with sweet rich fruits with an opulent texture. The acidity keeps the extravagance in check, but this is not a faint-hearted wine.",Portugal,Portuguese Red
"Rich and soft, classic creamed apple Alvarinho, with a great bite of apple skin acidity. The wine has a caramel edge, giving just an extra complexity and weight. A delicious, juicy, ripe and crisp aftertaste.",Portugal,Alvarinho
"A broad style of wine, bringing in the richness of Alvarinho and the more crisp character of Loureiro. It is very much in Vinho Verde style, just with extra power to give a final creamy character.",Portugal,Portuguese White
"From pure Touriga Nacional, this is already mature, with earthy overtones coming through to give leather aromas and flavors that are moving into spice, sweet wood and dark coffee. It has a great smooth texture with delicious final acidity.",Portugal,Touriga Nacional
"With its blend of Touriga Nacional, Castelão and Cabernet Sauvignon, this wine successfully blends Portugal and France. There is already some maturity here, the wine soft, with red berries and a leather tannin character. Ready to drink now, with a final fresh acidity.",Portugal,Portuguese Red
"A smooth, toasty wine, with distinct caramel and vanilla flavors, on top of ripe mangos and apricots. The Bical grape that dominates the blend gives a delicious creamy texture.",Portugal,Portuguese White
"A blend of grapes from Filipa Pato's vineyards in Bairrada and Dão, very aromatic, with a smooth, silky texture. The wine shows ripeness, sweet berries and perfumed black currant, violets and licorice.",Portugal,Portuguese Red
"It is called Point West because Estremadura's vineyards are the furthest west in Europe. The wine itself is soft and fruity initially, but then there is a tight tannic texture, followed by black currant fruits. The wine is finely made, elegant, just on the warm side of cool.",Portugal,Touriga Nacional
"Somewhat lean, this has a tart, grapefruit character that sits awkwardly with the otherwise fresh, green fruit character. Hard-edged.",Portugal,Portuguese White
"A powerfully rich wine, packed with sweet plum juice and damson fruits. It has considerable density, its structure a firm edifice for the ripe fruits. Good aging potential here.",Portugal,Touriga Nacional
"With plenty of weight, but weight that is concentrated around a tight, firm tannic core. The wine has great ripe plum and black cherry fruits, brimming from the glass. The acidity is a strong presence, and with the tannin promises several years' aging.",Portugal,Portuguese Red
"A well-structured wine, with black plum and spice, keeping the acidity and fruitiness of the vintage, and projecting them into a rich texture. It is on the dry side, the spirit showing just a little, but this will pass with aging. A fine vintage.",Portugal,Port
"Broadened by spicy wood, this is a smooth, rich and opulent wine. It has sweet plum and black cherry flavors to go with its dense texture. There is a light sprinkling of pepper to go with the grated nutmeg and powerful core of tannins. For aging 5–6 years and more.",Portugal,Touriga Nacional
"Almost black in color, a wine that boasts big fruit, big tannins, power everywhere. The style is concentrated but balanced, with raisin and dark plums important elements along with the wood and the dark tannins.",Portugal,Portuguese Red
"A smooth, well-integrated wine, showing sweet fruits, flavors of stewed red plums, with bright acidity. The proportions are all there, a wine that has style and freshness, as well as just the right fruit density.",Portugal,Portuguese Red
"The familiar rosé Lancers is all about crushed strawberries with a touch of sugar. There is a light structure, but the attractive light pink color and the fresh fruit all work together. Screwcap.",Portugal,Portuguese Red
"It is rare to find a pure Petit Verdot (the grape used in some blends in Bordeaux) anywhere, let alone in Portugal. The Alentejo is a good place, with guaranteed ripeness for this fickle grape. Dark in color, packed with dense tannins and a heavy layer of wood, this is not for the faint-hearted. It is certainly ripe and rich.",Portugal,Petit Verdot
"Powerful and dense, the spicy fruit is solid, dark and juicy. There is a fine balance here, the rich fruit powering through the wood tannins to give an impressive, concentrated finish.",Portugal,Portuguese Red
"A firmly structured wine, its tannins well bedded into perfumed black plum fruits. It has juicy, fresh acidity over the rich fruits, giving brightness to an otherwise weighty wine.",Portugal,Syrah
"Loureiro has made the region of Ponte de Lima its home, and this full and rich wine brings together the crispness with a more serious perfumed character. It is a wine that could age for a year, although its extreme vibrant fruit is already in great form.",Portugal,Loureiro
"Now in a smart clear blue bottle, this is Aveleda's estate wine. It is always a classic, with just some extra weight to give it distinction. The flavors are apple, brightened with lime, finishing with vibrant acidity.",Portugal,Portuguese White
"Smooth, wood and black fig flavored wine, rich and velvet in texture. The wine initially seems ready to drink, but then tannins kick in and it is obviously a wine with good aging potential. Certainly the weight, power and ripe fruit are all very evident.",Portugal,Portuguese Red
"A fine, elegant wood-aged wine. It has ripe fruits, sweet peach, apricot, mango, while the vanilla of toast lifts all the flavors, adding spicy smoothness. Acidity comes from fresh lime. It could do with some aging, maybe 2–3 years.",Portugal,Arinto
"An exotic blend including Pinot Noir and Merlot along with Portuguese varieties, taking its name from two local villages with saint's names. It has acidity and an awkward bitter edge, with tough black fruits. Maybe it needs time for the wine to soften and meld with the tight acidity.",Portugal,Pinot Noir
"A densely dry wine, the tannins dominating the fruit. In style, it harks back to the more tannic offerings from the Dão, but with a more modern interpretation that brings in berry fruits and a final fresh, juicy character.",Portugal,Portuguese Red
"An elegant style, the ripe fruit restrained and kept in check by the dry tannins and acidity. The flavors start lightly, but then the wine gives a fine intensity and concentration as it opens up. The berry flavors are balanced by the dried fruits, with a new wood layer coming through to finish. Worth aging for 2–3 years.",Portugal,Portuguese Red
"The main estate wine from Quinta dos Roques, this offers mature fruit, with acidity, layers of black figs, chocolate and licorice, as well as red plum juice. It is finely structured, giving some elegance to go with its complex flavors.",Portugal,Portuguese Red
"Perfectly mature, this Port's tannins have softened over the past 40-plus years, leaving it lushly textured and displaying rich fig and chocolate flavors. Finishes long, picking up a touch of almond to go with the fig, flavors Symington calls “Dow's hallmarks.” Drink now–2015, longer if you prefer very mature wines.",Portugal,Port
"A powerhouse of a wine that goes from densely rich to massive without a pause. The ripe fruit, the dark, heavy tannins, the black plum and fig flavors, all come from the terroir of this great vineyard.",Portugal,Port
"In the Fonseca tradition, this is a hugely rich wine, very dense. It is not all weight, with excellently integrated firm tannins and a range of complex flavors, from nuts and berry fruits to full frontal ripeness. There is some dryness to finish.",Portugal,Port
"Mouthfilling and round, without any sharp edges, but this wine remains extremely firm and dense, with several decades of life ahead of it. Dried fig, chocolate and black licorice flavors only hint at what lies ahead.",Portugal,Port
"A soft, simple wine with flavors of green fruits, and a layer of tannins. Medium-bodied and floral, it has a soft, medium-sweet aftertaste. Imported by Tri-Vin Imports.",Portugal,Portuguese White
"Great ripe fruit, with flavors of apricots and touches of toast and caramel to go with the purest lemon juice fruit flavors. It has more weight than an average Vinho Verde, a concentrated wine, bursting with fruit.",Portugal,Portuguese White
"A fine and elegant wine, flavors of blackberry and spice to go with the bright acidity. It has a fine layer of dusty, dry tannins that flesh out the fruit, along with a great final swathe of fresh fruit.",Portugal,Portuguese Red
"A bone-dry, slightly spritzy Vinho Verde, all sparkle and brightness. The crisp citrus and grapefruit character is fresh, vital and refreshing. This is what Vinho Verde is all about.",Portugal,Portuguese White
"The Jaen, known in Bierzo, Spain as Mencia, gives freshly juicy wines, but with a definite edge of structure. This example has those characters, as well as concentration and ripeness. It is balanced, elegant, a great food wine.",Portugal,Jaen
"Bairrada's difficult grape, the Baga, needs time for aging, which is what has happened here. The result is a wine that is fragrant, not heavy, poised and fresh. The red berry fruits are lifted by acidity, there is a tell-tale Baga dry tannic core, but well in balance. A great food wine.",Portugal,Baga
"A crisp citrus-flavored wine, with bright lime and lively acidity. This is a delicious, refreshing lime and grapefruit style of wine, with a tangy mineral edge.",Portugal,Portuguese White
"A very Portuguese version of Cabernet Sauvignon, with sweet, jammy red berries and only light tannins. The fruit has freshness, but the dominant character is sweetness, ripeness, a wine full of final juicy acidity.",Portugal,Cabernet Sauvignon
"Crisp, structured wine, showing the fruit skin and bite that makes Arinto such an interesting variety. There is an orange zest edge, emphasizing lightness, freshness, finishing a delicious wine.",Portugal,Arinto
"As ever, Vesuvio is packed with its generous, opulent ripe fruit, showing richness, dense flavors, layers of jam and sweetness with a hint of caramel flavors. This is a Port for indulgence, ripe, rich and packed with flavor.",Portugal,Port
"A powerhouse, but one that shows a certain degree of lushness to its robust blackberry and mint flavors. Finishes long and minerally, bolstered by slightly drying tannins. Should be more approachable by 2015 and last for three decades beyond that.",Portugal,Port
"A finely structured, impressively elegant wine, packed with dark fruit skin flavors, heavy with tannins and delicious perfumed fruit. While it is rich, it is also dry, suggesting excellent aging potential.",Portugal,Port
"Dense, dusty, structured, tannic, dry wine, that promises aging potential. It is definitely young, dark with plum skin fruits, power and richness, that go along with excellent acidity.",Portugal,Port
"A soft, gentle, honey-and-spice wine that gives immediate pleasure as an apéritif. There is just a touch of acidity to keep it all in balance. Imported by Admiral Wine Imports.",Portugal,Portuguese White
"A fresh, cream and baked apple wine, with some good citrus zest, acidity and a taut texture. It has a pure, crisp character which then moves into a firm, pear juice flavor. Another year would soften and release the spicy wood.",Portugal,Portuguese White
"Big and rich, this is a round and structured wine. It has great layers of ripe herbs, full black fruits and exotic spice to go over the dry tannins. The final flavors are rich, tarry, juicy as well as powerful.",Portugal,Portuguese Red
"A rich wine, the tannins of the blackberry fruits smoothed by wood. Along with its richness, it has an attractive lightness, freshened with acidity. It is ready to drink now, a delicious mouthful.",Portugal,Portuguese Red
"Blending Alvarinho and Trajadura, oenologist Anselmo Mendes has created a deliciously creamy but dry style of Vinho Verde. The citrus character is there, but the texture is open, just hints of apple skins over the apricots and white peaches.",Portugal,Portuguese White
"A blend that includes Cabernet Sauvignon, with Touriga Nacional, to give a tight wine, solid, taking its austerity from the 2006 vintage. The berry fruits offer structure, and allow the wine to finish with a fresh note.",Portugal,Portuguese Red
"Approachable now, but capable of further positive evolution, the 1980 is lush and supple, with abundant chocolate and dried-spice flavors and a long, warming finish. Drink now–2025.",Portugal,Port
"Meaty, bacon aromas on this still-young vintage. Its tannins are great, a dry style of wine, densely packed over deep layers of black fruits. The acidity and finely perfumed fruit are coming together well. This should age well – all the elements are there.",Portugal,Port
"A rounded, ripe, sweet wine, touched with caramel and dry figs. There's generous, rich fruit, and a feeling of warmth from spice and dark plums. Ripe, leavened with acidity for aging.",Portugal,Port
"Vineyards don't get more remote than Ervamoira, in the heart of the Côa national park of prehistoric wall drawings. It's dry here, and that's evident from the dusty tannins, firm dark black fruits, and considerable aging potential.",Portugal,Port
"A big rich wine in taste, and well balanced with the alcohol, giving a smooth texture, with good density of black plum juice flavors. It is a solid, chunky structure, a potential powerhouse, looking for aging 5–6 years.",Portugal,Portuguese Red
"Just turning in color, a wine that is beginning to mature. It has leathery texture over spice, ripe tannins and flavors of red fruit jelly. There is a bitter coffee character that melds easily into the tannins. It is a delicious wine, balanced and made for food.",Portugal,Castelão
"A full, weighty, fat wine, almost new world Chardonnay in its texture and richness. It does come back to its roots, though, with the fresh melon and pear flavors in front of a definite mineral background. A food white, for good fish dishes, perhaps with spice.",Portugal,Fernão Pires
"The lovely spritz of fresh Vinho Verde bubbles out of the glass of this lively, crisp and citrus-flavored wine. It has the right edge of fruit skins giving structure to the summer fruits and acidity.",Portugal,Portuguese White
"From a 73-acre vineyard, owned by Quinta dos Roques, on the slopes of the Serra de Estrella, Portugal's highest mountains. With 10% wood aging, this is has a light vanilla touch, but that is quickly mixed with the ripe lemon and honey, peach and cantaloup melon flavors.",Portugal,Malvasia Fina
"A ripe and smooth wine, flavored with pears, white peach and spiced with gentle new wood. The touch of minerality comes from the chalk soils of the vineyards. The finish, though, comes back to smoothness, with an edge of acidity.",Portugal,Portuguese White
"Power is the word to describe this wine, with its firm, dark tannins, dusty and solid over brooding heavy fruits. It is perhaps foursquare, and there is a core of dryness.",Portugal,Port
"Soft in texture yet mouthcoating in its intensity, this is a honeyed, nutty wine filled with dried fruit, toffee and almond butter aromas and flavors. Like all tawnies, it won't improve with bottle age, so drink this while your young vintage Ports hog the cellar space.",Portugal,Port
"A dry, structured wine, firm and with tannic, concentrated fruit. Spirit and acidity are both evident, but with its dark, brooding style this is an impressive return to form by Croft.",Portugal,Port
"A blend of Alvarinho and Trajadura, this combines a creamy texture with bright green fruit acidity. There is weight as well as freshness, the aftertaste rich while also crisp.",Portugal,Portuguese White
"A wine with good richness and weight, the crisp fruit softening into a more mature character, but still retaining a bright, tight acidity. It has good weight and would work well with food.",Portugal,Portuguese Sparkling
"A fine, ripe wine, with big, bold tannins, solid fruit and a structured black juice character. It is definitely rich in texture, but at the same time has a tight, mineral edge and restraint.",Portugal,Portuguese Red
"A ripe, full-bodied wine, the yellow peach and apricot flavors balanced with grapefruit, spice and a pear skin structure. There is a hint of vanilla from the wood, with a final, enticing floral character.",Portugal,Portuguese White
"Soft, perfumed wine, with a rich, full-bodied style that goes towards dry. At this stage, the spirit is somewhat obvious, but that is a sign of youth, and the wine will develop power and strength over the next several years.",Portugal,Port
"This is a superlative vineyard, and this wine shows its true character, a big, hearty wine, but one with a structured core of mineral, rich fruits and dark tannins. With its concentration, expect it to age well over 10 years and more.",Portugal,Port
"Structured, complex wine that is only just beginning to hint at considerable depth of powerful, rich flavors. The structure is dry, a little lean, but with dense tannins. The fruit, rich plums and stone fruits is just coming through. Age for 10 years.",Portugal,Port
"The 15th century Quinta de Pancas, north of Lisbon, produces this 100% Cabernet Sauvignon wine. It has initially lean tannins, but the fruit has spice, black currant fruits and a tight line in wood and final sweetness. For aging.",Portugal,Cabernet Sauvignon
"From vineyards at the western end of the Douro region, this is a densely packed wine, with a dusty and tannic texture that also keeps a firm grip on dark berry and stone fruits. The acidity is less apparent, giving a wine that should be drunk in the next 1–2 years.",Portugal,Portuguese Red
"A big dense wine, as tough as the rocks that make up the Dão soil. Its fruit is certainly there, a welter of black berries and plums. But in this young wine, the tannins are still in charge. This is going to develop, opening up, becoming less mineral, over the next three years.",Portugal,Portuguese Red
"Pure Arinto, this wine brings lemon and pineapple flavors together, giving freshness and fruitiness. It is soft, open, the yellow fruit flavors offering some richness, while the citrus leaves a crisp, clean taste. Fine as an apéritif.",Portugal,Arinto
"A classic, structured, well-shaped Port with its attractive dry tannins and firm, dark berry fruit. There's excellent balance between the fruit and the sweet spirit character, which goes right through this serious wine.",Portugal,Port
"The high vineyards of inland eastern Portugal gives a wine that is initially austere, tasting very much of its rock terroir, cool and elegant. The fruit is very direct, fresh and juicy, with the tannins a strong presence. The final acidity is a cool burst.",Portugal,Portuguese Red
"If you want power, here it is. This is a super-rich wine, with dense ripe black fruits. The concentration fits well with the acidity. The downside is a pepper and alcohol burn that needs to blow away.",Portugal,Portuguese Red
"Literally meaning “Bordeaux soup,” this is a blend of Bordeaux varieties, including 25% Petit Verdot. It is big and powerful, with a hugely deep color, solid tannins and sweet acidity. Great juicy wafts come through the dark tannins.",Portugal,Bordeaux-style Red Blend
"Pear and creamy apples round out a soft, fruity wine. The Arinto grapes give a plum skin tightness to the structure, but the main character is of a full, ripe but also fresh wine.",Portugal,Portuguese White
"The legendary Mouchão, one of Portugal's most revered wines, has finally made it to this country. Made in traditional open stone fermenters, this is not a modern wine. It's a wine, whose dark tannins and dense fruits demand attention and time. At this stage—six years in—it remains a baby, but in another five years, it will start to be a great wine, one that will show a hedonistic mix of power and beauty.",Portugal,Portuguese Red
"This is the greatest of the quintas planted by Dona Antonia Ferreira in the 19th century. It is in the Douro Superior, the driest, most remote part of the Douro. The Olazabal family, descendants of Dona Antonia, produce this hugely impressive, dark-hued wine, packed with dense, brooding tannins and solid, initially tough fruits, which open out to opulence and richness.",Portugal,Portuguese Red
"Dark, dense and concentrated, with power and elegance. But somehow this complex wine also shows restraint and style. It has much to do with the pure richness of the fruit (from 90-year-old vines) as the acidity which lifts and restrains the power.",Portugal,Portuguese Red
"A densely fruity wine, with berry and plum fruits, pushed by some firm tannins. It is the ripe fruit, brimming over the glass, that makes this wine so delicious and approachable now.",Portugal,Portuguese Red
"Velvet-textured wine, smoothed by wood aging, the black fruits pushing through the layer of dusty tannins. It has a feeling of power and concentration. It could well age another 2–3 years or more. A step up over previous vintages.",Portugal,Portuguese Red
"Floral, fresh aromas burst out of the glass in this green, crisp wine. There is a creamy element to it, probably from the Alvarinho in the blend, giving the wine some richness. But in the end, this is all about lightness, summer drinking with seafood.",Portugal,Portuguese White
"Fruity, lacking the power of some vintages of Vargellas, but more than making up with richness, sweetness and delicious violet perfumes. There is some cranberry jelly flavor, an edge of dryness and firmness in the fruit, but it's more about ripeness.",Portugal,Port
"From a vineyard opposite Quinta do Vesuvio, high up the Douro, this Symington-owned property has produced a rich, sweet 2004, with a soft tannic structure, layered with a lightly spirit edge. It's a big mouthful of ripe fruit.",Portugal,Port
"The top wine in the Quinta do Portal range is in its second vintage. With 12 months aging in French oak, the power is all there in very dark, heavy tannins that dominate the fruit. This is a powerful expression of the richness and the structure of great Douro wines, all granite and mineral in character, dark and tough, sure to age well.",Portugal,Portuguese Red
"The joint venture between the Cazes family of Bordeaux and the Roquette family of Quinta do Crasto in the Douro is in its second released vintage. This is made using Bordeaux techniques, resulting in a style that is more structured than many Douro wines, exploiting ripe fruit with solid tannins, leavened by sweetness and sweet red fruits. The wood shows through on the finish.",Portugal,Portuguese Red
"A hugely juicy wine, dominated by Touriga Nacional, leavened by dry tannins. It's big, ripe, with vivid red fruits giving spice and power. Immediately attractive now, it is likely to age well over the next 5–8 years.",Portugal,Portuguese Red
"An impressively powerful wine, with concentrated fruit from old vines. It packs dense tannins, layers flavors of ripe figs, plums and raisins, along with wood flavors. The quinta is close to Regua in the western part of the Douro vineyards, a region particularly well suited to powerful but still elegant table wines.",Portugal,Portuguese Red
"This is a big wine, going on sweet and superripe. It is almost heavy, the acidity a necessary foil to the dense matter here. Sweet and perfumed berry fruits are dominant along with spice from new wood.",Portugal,Touriga Nacional
"A fresh and rich wine, its tannins soft and smooth. There is a firm edge, while the main flavors are ripe, juicy black plum and damsons, pushed by final acidity.",Portugal,Portuguese Red
"There are few Syrahs in Portugal—some in the Alentejo—but this comes from the coastal region of Bairrada. It shows all the rich, violet and black plum juice varietal character, very juicy. There is spice from wood, but this and the soft tannins meld easily into the rich fruit.",Portugal,Syrah
"This estate, managed by the Symington family, is a great Douro property by any standard. This hot 2003 vintage is properly big and dense, but the elegance and style of the estate shows through, with delicious ripe plum flavors over the new wood. Age this for at least 6 years.",Portugal,Portuguese Red
"From a single vineyard at Quinta do Crasto, this wine was fermented in open lagars. It is big, perfumed, packed with superripe fruit. It could almost be too much, but the spice, pepper and dense tannins are restrained by an edge of acidity. It promises long-term aging.",Portugal,Portuguese Red
"A broad, ripe and very accessible wine. Spiced by nutmeg and vanilla, it is based on solid, chunky black fruits and distinguished layer of tannins. Ready to drink, or keep for one year.",Portugal,Portuguese Red
"Moscatel dominates the blend of this wine and gives a perfumed character. It has some good weight and freshness, a bright green plum and pear flavor. The acidity and ripe fruit are well in balance.",Portugal,Portuguese White
"Already showing good balance between ripe wood and plum and blackberry fruits, this is a full wine. The acidity is a welcome layer of juicy freshness in the rich texture. Drink now and over the next 2–3 years.",Portugal,Portuguese Red
"Ripe, soft and fruity, with dense sweet fruit. The wine is approachable, an enticing mix of tannins, spice and coffee. With its fruity finish, the wine is sure to please. The quinta was owned by the local postman, and correio is the word for post in Portuguese.",Portugal,Portuguese Red
"A firm, tightly coiled and structured wine, which tastes of the granite soil of the Dão. At the moment it is dominated by tannins and dark fruits, a solid core around which there are glimpses of plum and black currants. Age for 2–3 years, or drink now with rich foods.",Portugal,Portuguese Red
"Port from Ervamoira comes in a number of guises – both as an aged tawny and, now, as this single quinta vintage. This shows the super-ripe, concentrated nature of fruit from this quinta, giving a black fig, sweet character that also has a backbone of dark tannin.",Portugal,Port
"A delicious, ripe, fruity wine showing how well this property has developed its Port skills since branching out from table wine production. It is generous, opulent, hearty, just missing structure, but with good approachability.",Portugal,Port
"The name refers to the big meander the Douro river takes around the quinta's vineyards, forming a long peninsula. Like its big brother, the quinta wine, this reflects the heat and the concentrated fruit that comes from this famed vineyard. Its tannins are almost impenetrable at this stage, deep and dry, needing several years of aging to reveal the solid, ripe dark, spicy flavors.",Portugal,Portuguese Red
"The darkest, most impressive version of the Duas Quintas brand, this Reserva is made in the open lagars, from foot-trodden grapes in the tradition still used by major Port houses. It gives a ripe, sweet, almost Port-like character, but still firmed by structure and dusty tannins to go with the superripe plums.",Portugal,Portuguese Red
"A Vinho Verde with some weight from the ripe pear and grapefruit-flavored fruit. It is bone dry, very fresh, the intensity of flavors turning this into a fine food wine.A Vinho Verde with some weight from the ripe pear and grapefruit-flavored fruit. It is bone dry, very fresh, the intensity of flavors turning this into a fine food wine.",Portugal,Loureiro
"A fresh, ripe red wine, with spice and sweet fruit. There is a simple, attractive juicy character, accompanied by soft tannins. The fruit is fresh and berry-flavored, just brushed by wood.",Portugal,Portuguese Red
"A good choice for current consumption, the 1985 Dow's shows a touch of bricking to go along with developed aromas of cedar, clove and cinnamon. Cherry, plum, fennel and dried spice notes finish with a hint of toffee. Drink now–2015.",Portugal,Port
"The fine, ripe, structured character of Touriga Nacional is well evident here. It may be big in alcohol, but the wine wears that easily, going more for fresh tannins and acidity, for black currant and dark plum flavors and smooth, vanilla flavors from the French wood aging.",Portugal,Touriga Nacional
"Structured, rich, but also with good fresh acidity, this is one of the best wines in the Quinta do Portal range. It has lively, vibrant red fruit, along with dry tannins, some vanilla from wood aging. Great acidity in the aftertaste.",Portugal,Portuguese Red
"From Aliança's Alentejo Terrugem vineyard, this dense, tannin-packed wine has powerful flavors of dark fruits, a very dry backbone and layer upon layer of tarry, smoky tastes. Initially it overwhelms with its richness, but that softens and the acidity gives the wine a lifted vibrancy.",Portugal,Portuguese Red
"There is an earthy aroma to this wine along with a rustic edge. There is also spice from minty wood, a dry core of tannins, with acidity that seems too prominent. All these characters suggest a wine that needs some aging over the next 2–3 years.",Portugal,Portuguese Red
"Lovers of Moscato sparkling wines will enjoy this with its poise between sweetness and acidity. It is very fragrant, very refreshing, the sweetness never cloying.",Portugal,Portuguese Sparkling
"Full, soft wine, with fruit that is rich and gentle. The acidity is what keeps this broad wine together. The green apple and white berry fruits add texture, with just a touch of spice.",Portugal,Fernão Pires
"Soft, superripe wine, with layers of sweet black figs and chocolate. This is almost like a Porty Zinfandel in its richness. There are tannins there, but they seem lost in this riot of sweet fruit.",Portugal,Port
"On the outside this is all soft, generous round fruit. In the core, though, there is a strong acid, perfumed fruit character, which suggests aging potential. Now the two components need to come together.",Portugal,Port
"The Quinta da Leda is high up the Douro, in the remote regions of Douro Superior. This 2004 shows the concentration of the fruit in the dark tannins, the toasty new wood and the ripe dark plum fruits. It is smooth enough to drink now, but the tannins promise 5–6 years aging.",Portugal,Portuguese Red
"Old vines in this case means 70-year-old vines. Featuring blackberry fruit flavors, along with plums, sweet and rich, this shows a dense, herbal character, dry tannins, lifted by acidity to finish.",Portugal,Portuguese Red
"A rare Portuguese Merlot and Cabernet Sauvignon blend, made with the involvement of Bordeaux winemaker Pascal Chatonnet, working with Caves Aliança's winemaker Francisco Antunes. Does it work? Yes, as a delicious curiosity. There is no connection with Portugal, but there is smooth new wood, and some pepper from alcohol. Then tannins are dry, the fruit is very ripe and very rich.",Portugal,Portuguese Red
"Crisp acidity and an attractive line in vivid citrus give a fresh, ready-to-drink wine. It has a bright pear juice final flavor.",Portugal,Portuguese White
"A juicy, Baga-dominated wine, all soft black fruits, freshness, with hints of tomato, acidity and a final leathery tannin character.",Portugal,Baga
"A full-bodied, ripe wine from the Dão. It has the classic minerality of the region, as well as solid fruit, dark tannins and spice. The combination of juicy sweetness and firm, dry tannins is very successful.",Portugal,Portuguese Red
"The brand Bucellas (with two “l”s) has been made by Caves Velhas for years. It remains a light, fresh, crisp wine, all white berry fruits, green plums and lively acidity. A great seafood wine.",Portugal,Arinto
"This joint venture between the inspired winemaker Domingos Soares Franco and Cristiano van Zeller produces fascinatingly idiosyncratic wines. Big and bold, but then lean and tannic, with sunshine-filled fruit over dark tannins. Consumers wanting an action-packed wine, needing time to come together (when it will be superb), should go for this.",Portugal,Portuguese Red
"TR stands for Tinta Roriz, the dominant grape in this blended wine (with Touriga Nacional). It is smooth, polished, with a spice and mint character, juicy and fruity. The tannins may be dry, but they in no way inhibit the exuberant fruit.",Portugal,Tinta Roriz
"A bright, tight, citrus-flavored wine, with a great mineral streak over fresh, creamy acidity. There are lovely wafts of fresh apple juice. A delicious wine.",Portugal,Portuguese White
"A smooth, rich wine that has good, solid tannins balanced with fresh berry fruits and great herbal aromas. It is ready to drink, the tannins well melded into the fruit.",Portugal,Portuguese Red
"A delicious citric-dominated wine, very fresh, with a great apple skin texture, bright aciidty and crisp white fruits. It dances easily, lightly, ready to drink now.",Portugal,Portuguese White
"Spicy, toasty, full-bodied and fruity, this is a wine that is packed with plums, fresh red fruits, and a great burst of ripe acidity. Delicious and very accessible.",Portugal,Portuguese Red
"In keeping with the austerity of the Dão landscape, this is a taut, mineral-inspired wine, with acidity that sweeps over the black berry fruit. The tannins give a firm core of dryness, but that acidity freshness keeps everything vivid and lively.",Portugal,Portuguese Red
"Rounded, rich, and very drinkable now. It is so attractive because the tannins are muted and soft. The perfumes float above the sweet red fruits, and lightly jammy character.",Portugal,Port
"A richly fruity wine, packed with black plum juice and sustained on a firm bed of spicy wood. It is balanced, with attractive acidity and is certainly ready to drink.",Portugal,Portuguese Red
"Going for structure as much as fruit, this is a cool wine with black currant flavors giving high acidity. It feels light, fresh, although there are tannins and spice to give some final weight.",Portugal,Portuguese Red
"Surprisingly light and soft, for a Dow Port, this shows sweet fruit with a super-ripe edge. In the medium-term, this will be a pleasant, ripe vintage, but it's not likely to age.",Portugal,Port
